범죄중분류,00:00~2:59:,03:00~5:59,06:00~8:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상,일,월,화,수,목,금,토
살인기수,32,38,27,42,44,41,58,56,34,47,59,68,56,49,45,48
살인미수등,50,48,38,51,47,60,77,99,71,73,74,85,82,87,74,66
강도,249,297,86,92,120,115,142,204,281,220,240,209,225,231,226,235
강간,586,664,337,279,279,278,336,646,1673,789,628,697,673,680,746,865
유사강간,48,48,27,20,24,29,33,37,109,65,46,53,47,44,45,75
강제추행,1448,1542,1243,852,962,1352,1743,2588,2881,2126,1901,2129,2042,2045,2071,2297
기타강간 강제추행등,106,192,67,60,57,77,70,96,266,159,131,165,130,125,128,153
방화,224,210,101,130,148,222,212,319,157,279,233,237,221,233,243,277
절도범죄,21567,21195,17918,29081,30903,34679,40322,35015,35542,36895,35699,36970,36689,36805,40471,42693
상해,6015,4613,2824,3892,3656,4615,6272,10555,7839,7462,6537,7217,6888,7013,7236,7928
폭행,18554,14265,7116,8492,8821,11249,17394,32167,14862,20924,16507,17984,18258,17897,19132,22218
체포 감금,43,72,70,121,92,98,105,124,220,106,136,170,145,110,136,142
협박,268,212,229,612,511,584,649,700,1422,628,779,784,780,774,788,654
약취 유인,6,5,18,23,28,30,27,12,49,26,27,32,32,34,27,20
폭력행위등,5408,4669,1996,2307,2353,3057,4733,8064,5102,6338,4813,4987,4954,5051,5187,6359
공갈,229,150,94,422,328,526,664,618,1831,563,705,782,683,713,743,673
손괴,5654,4656,3630,4664,4268,5890,10249,12264,6722,8446,7469,7759,7899,7914,8858,9652
직무유기,4,1,5,143,61,26,9,5,323,43,121,75,97,88,112,41
직권남용,10,8,10,85,33,19,15,17,167,29,60,60,52,58,65,40
증수뢰,2,0,4,27,14,11,17,5,171,18,35,32,53,44,38,31
통화,25,28,83,554,273,246,146,81,1334,149,547,507,467,466,483,151
문서 인장,162,114,63,2917,1072,546,299,325,8943,756,2799,2511,2457,2494,2412,1012
유가증권인지,3,0,2,71,28,17,9,4,226,21,65,66,54,69,58,27
사기,5636,3974,2447,40455,22625,15829,10733,9729,126981,18083,40767,40381,39182,39064,39947,20985
횡령,1315,970,969,5864,3128,2676,2687,2793,16622,3904,5528,5729,5544,5435,6116,4768
배임,15,3,6,1107,302,88,46,18,2871,298,722,794,747,726,842,327
성풍속범죄,572,386,837,1584,1445,1900,1883,1704,6372,1997,2292,2689,2532,2560,2563,2050
도박범죄,237,160,101,594,570,1046,1472,1445,2668,1071,1055,1273,1261,1215,1296,1122
특별경제범죄,2768,2231,2024,10083,6652,6028,5702,7676,29744,7461,11928,11706,11536,10981,11312,7984
마약범죄,121,97,44,312,357,484,548,453,2409,538,766,740,714,717,696,654
보건범죄,480,268,146,1417,1090,1333,1020,1735,7168,917,2503,2634,2563,2479,2276,1285
환경범죄,17,26,83,404,277,209,63,57,1400,177,450,464,430,407,428,180
교통범죄,41939,32441,44610,53045,54231,65612,79167,157320,45128,74665,76089,80751,81707,82368,89157,88756
노동범죄,17,5,13,498,94,61,55,111,454,42,188,181,163,192,479,63
안보범죄,1,2,1,15,5,6,2,10,42,10,9,18,13,14,13,7
선거범죄,14,15,82,375,191,132,151,69,845,212,268,282,317,302,265,228
병역범죄,10,1,42,3941,777,88,78,39,16573,206,5174,5263,3419,3861,3444,182
기타,10233,7587,5772,24224,13906,14182,14135,23364,67123,19471,26773,28497,28295,27137,27629,22724
